bin,range_m,mf_magnitude,cfar_threshold,detected
162,2428.3189,8.294304,20.733285,0
163,2443.3085,9.733667,21.926828,0
164,2458.2982,1.092394,22.322058,0
165,2473.2878,8.890282,23.081655,0
166,2488.2774,6.429739,23.703806,0
167,2503.2670,1.565264,24.150099,0
168,2518.2566,2.026832,24.209205,0
169,2533.2463,1.592193,22.830690,0
170,2548.2359,2.155464,22.333764,0
171,2563.2255,5.534397,22.330726,0
172,2578.2151,5.167716,22.058250,0
173,2593.2048,4.076201,21.625245,0
174,2608.1944,2.501954,20.555526,0
175,2623.1840,0.836837,20.119304,0
176,2638.1736,5.449130,19.917696,0
177,2653.1633,7.517195,20.078677,0
178,2668.1529,10.797046,19.242463,0
179,2683.1425,7.214109,18.143250,0
180,2698.1321,4.884648,17.420138,0
181,2713.1217,5.526948,17.111505,0
182,2728.1114,5.294738,16.684698,0
183,2743.1010,6.814063,18.001943,0
184,2758.0906,7.301484,18.184221,0
185,2773.0802,7.842731,18.458425,0
186,2788.0699,5.919577,18.716556,0
187,2803.0595,5.245534,20.548445,0
188,2818.0491,5.162240,22.382518,0
189,2833.0387,3.059268,22.680479,0
190,2848.0284,3.205271,23.035366,0
191,2863.0180,5.245604,23.626227,0
192,2878.0076,2.367894,25.217359,0
193,2892.9972,4.340112,26.491883,0
194,2907.9868,4.736294,27.209926,0
195,2922.9765,6.783510,27.204667,0
196,2937.9661,4.034659,27.403822,0
197,2952.9557,4.978802,27.276423,0
198,2967.9453,2.629235,27.716873,0
199,2982.9350,6.247819,26.766853,0
200,2997.9246,3.738367,26.319999,0
201,3012.9142,7.764035,26.614944,0
202,3027.9038,3.636990,26.452109,0
203,3042.8934,10.804164,24.797342,0
204,3057.8831,9.440676,23.381596,0
205,3072.8727,4.101012,23.322496,0
206,3087.8623,9.356041,23.531612,0
207,3102.8519,16.015287,22.955851,0
208,3117.8416,14.060859,22.006149,0
209,3132.8312,3.145060,21.762430,0
210,3147.8208,3.479009,22.480492,0
211,3162.8104,9.913910,24.029501,0
212,3177.8001,15.887436,26.955535,0
213,3192.7897,14.914677,30.629705,0
214,3207.7793,11.392302,31.282943,0
215,3222.7689,5.844923,30.944310,0
216,3237.7585,4.446080,31.471006,0
217,3252.7482,7.967409,32.494878,0
218,3267.7378,11.114119,33.232382,0
219,3282.7274,7.461863,34.122430,0
220,3297.7170,4.901805,34.747316,0
221,3312.7067,8.438709,35.404400,0
222,3327.6963,8.208857,35.427736,0
223,3342.6859,4.830791,35.790616,0
224,3357.6755,0.769407,35.373870,0
225,3372.6652,6.399353,34.470056,0
226,3387.6548,6.535207,33.797490,0
227,3402.6444,6.312491,32.880711,0
228,3417.6340,5.930183,30.926853,0
229,3432.6236,11.313102,27.108765,0
230,3447.6133,14.750562,26.014569,0
231,3462.6029,13.149629,26.646255,0
232,3477.5925,15.430294,25.848003,0
233,3492.5821,22.488990,24.258186,0
234,3507.5718,15.928953,23.635573,0
235,3522.5614,1.681455,23.807810,0
236,3537.5510,8.385957,23.930693,0
237,3552.5406,5.607803,24.413698,0
238,3567.5303,3.881559,27.170716,0
239,3582.5199,8.956033,28.672488,0
240,3597.5095,11.597350,29.317397,0
241,3612.4991,13.166936,29.831894,0
242,3627.4887,6.668251,30.068297,0
243,3642.4784,2.653108,30.537356,0
244,3657.4680,2.700973,30.452318,0
245,3672.4576,1.952943,31.270734,0
246,3687.4472,5.051731,31.927040,0
247,3702.4369,3.127111,31.723385,0
248,3717.4265,9.871431,31.730766,0
249,3732.4161,6.204026,31.583573,0
250,3747.4057,6.956121,31.375303,0
251,3762.3953,8.482977,30.554598,0
252,3777.3850,1.767014,30.103646,0
253,3792.3746,3.137951,29.899055,0
254,3807.3642,4.485582,27.175562,0
255,3822.3538,4.112990,25.775115,0
256,3837.3435,3.652086,25.607564,0
257,3852.3331,5.005395,29.990016,0
258,3867.3227,5.348595,29.398264,0
259,3882.3123,11.326095,57.106355,0
260,3897.3020,13.125499,99.435271,0
261,3912.2916,6.982996,114.377538,0
262,3927.2812,10.379894,114.443002,0
263,3942.2708,12.138052,115.234127,0
264,3957.2604,5.002062,115.460627,0
265,3972.2501,7.486220,116.002836,0
266,3987.2397,6.350757,116.045729,0
267,4002.2293,5.598036,116.134025,0
268,4017.2189,6.110252,116.251365,0
269,4032.2086,3.126676,115.970638,0
270,4047.1982,10.245851,116.011290,0
271,4062.1878,7.522189,115.857102,0
272,4077.1774,9.718853,115.703584,0
273,4092.1671,11.353217,114.638395,0
274,4107.1567,5.459693,114.758864,0
275,4122.1463,10.549212,103.733114,0
276,4137.1359,8.793868,64.258660,0
277,4152.1255,29.094896,30.221016,0
278,4167.1152,4.896224,30.035132,0
279,4182.1048,85.608740,27.591247,1
280,4197.0944,141.265053,27.333840,1
281,4212.0840,98.774204,25.351356,1
282,4227.0737,15.282652,30.555434,0
283,4242.0633,24.331028,30.994737,0
284,4257.0529,8.530067,57.835807,0
285,4272.0425,14.868921,100.121746,0
286,4287.0321,9.480088,115.286191,0
287,4302.0218,5.985686,115.638737,0
288,4317.0114,6.217759,116.542017,0
289,4332.0010,2.420309,116.558369,0
290,4346.9906,6.366309,116.713225,0
291,4361.9803,3.485357,116.741396,0
